algorithm,characters,noise_rate,repetition,seed,payload_bits,redundancy_bits,overhead_ratio,flipped_bits,out_of_guarantee_words,result
secded,16,0.0,0,10160000,128,80,0.625,0,0,sin_error
secded,16,0.0,1,10160001,128,80,0.625,0,0,sin_error
secded,16,0.0,2,10160002,128,80,0.625,0,0,sin_error
secded,16,0.0,3,10160003,128,80,0.625,0,0,sin_error
secded,16,0.0,4,10160004,128,80,0.625,0,0,sin_error
secded,16,0.0,5,10160005,128,80,0.625,0,0,sin_error
secded,16,0.0,6,10160006,128,80,0.625,0,0,sin_error
secded,16,0.0,7,10160007,128,80,0.625,0,0,sin_error
secded,16,0.0,8,10160008,128,80,0.625,0,0,sin_error
secded,16,0.0,9,10160009,128,80,0.625,0,0,sin_error
secded,16,0.0,10,10160010,128,80,0.625,0,0,sin_error
secded,16,0.0,11,10160011,128,80,0.625,0,0,sin_error
secded,16,0.0,12,10160012,128,80,0.625,0,0,sin_error
secded,16,0.0,13,10160013,128,80,0.625,0,0,sin_error
secded,16,0.0,14,10160014,128,80,0.625,0,0,sin_error
secded,16,0.0,15,10160015,128,80,0.625,0,0,sin_error
secded,16,0.0,16,10160016,128,80,0.625,0,0,sin_error
secded,16,0.0,17,10160017,128,80,0.625,0,0,sin_error
secded,16,0.0,18,10160018,128,80,0.625,0,0,sin_error
secded,16,0.0,19,10160019,128,80,0.625,0,0,sin_error
secded,16,0.0,20,10160020,128,80,0.625,0,0,sin_error
secded,16,0.0,21,10160021,128,80,0.625,0,0,sin_error
secded,16,0.0,22,10160022,128,80,0.625,0,0,sin_error
secded,16,0.0,23,10160023,128,80,0.625,0,0,sin_error
secded,16,0.0,24,10160024,128,80,0.625,0,0,sin_error
secded,16,0.0,25,10160025,128,80,0.625,0,0,sin_error
secded,16,0.0,26,10160026,128,80,0.625,0,0,sin_error
secded,16,0.0,27,10160027,128,80,0.625,0,0,sin_error
secded,16,0.0,28,10160028,128,80,0.625,0,0,sin_error
secded,16,0.0,29,10160029,128,80,0.625,0,0,sin_error
secded,16,0.001,0,10161000,128,80,0.625,0,0,sin_error
secded,16,0.001,1,10161001,128,80,0.625,0,0,sin_error
secded,16,0.001,2,10161002,128,80,0.625,0,0,sin_error
secded,16,0.001,3,10161003,128,80,0.625,0,0,sin_error
secded,16,0.001,4,10161004,128,80,0.625,0,0,sin_error
secded,16,0.001,5,10161005,128,80,0.625,0,0,sin_error
secded,16,0.001,6,10161006,128,80,0.625,0,0,sin_error
secded,16,0.001,7,10161007,128,80,0.625,0,0,sin_error
secded,16,0.001,8,10161008,128,80,0.625,1,0,corregido
secded,16,0.001,9,10161009,128,80,0.625,2,0,corregido
secded,16,0.001,10,10161010,128,80,0.625,1,0,corregido
secded,16,0.001,11,10161011,128,80,0.625,3,0,ERROR doble_error_detectado
secded,16,0.001,12,10161012,128,80,0.625,0,0,sin_error
secded,16,0.001,13,10161013,128,80,0.625,0,0,sin_error
secded,16,0.001,14,10161014,128,80,0.625,0,0,sin_error
secded,16,0.001,15,10161015,128,80,0.625,0,0,sin_error
secded,16,0.001,16,10161016,128,80,0.625,0,0,sin_error
secded,16,0.001,17,10161017,128,80,0.625,1,0,corregido
secded,16,0.001,18,10161018,128,80,0.625,0,0,sin_error
secded,16,0.001,19,10161019,128,80,0.625,0,0,sin_error
secded,16,0.001,20,10161020,128,80,0.625,2,0,ERROR doble_error_detectado
secded,16,0.001,21,10161021,128,80,0.625,0,0,sin_error
secded,16,0.001,22,10161022,128,80,0.625,1,0,corregido
secded,16,0.001,23,10161023,128,80,0.625,0,0,sin_error
secded,16,0.001,24,10161024,128,80,0.625,1,0,corregido
secded,16,0.001,25,10161025,128,80,0.625,0,0,sin_error
secded,16,0.001,26,10161026,128,80,0.625,0,0,sin_error
secded,16,0.001,27,10161027,128,80,0.625,1,0,corregido
secded,16,0.001,28,10161028,128,80,0.625,0,0,sin_error
secded,16,0.001,29,10161029,128,80,0.625,0,0,sin_error
secded,16,0.01,0,10170000,128,80,0.625,0,0,sin_error
secded,16,0.01,1,10170001,128,80,0.625,0,0,sin_error
secded,16,0.01,2,10170002,128,80,0.625,3,0,corregido
secded,16,0.01,3,10170003,128,80,0.625,2,0,corregido
secded,16,0.01,4,10170004,128,80,0.625,1,0,corregido
secded,16,0.01,5,10170005,128,80,0.625,1,0,corregido
secded,16,0.01,6,10170006,128,80,0.625,1,0,corregido
secded,16,0.01,7,10170007,128,80,0.625,5,0,corregido
secded,16,0.01,8,10170008,128,80,0.625,2,0,corregido
secded,16,0.01,9,10170009,128,80,0.625,4,0,ERROR doble_error_detectado
secded,16,0.01,10,10170010,128,80,0.625,3,0,corregido
secded,16,0.01,11,10170011,128,80,0.625,1,0,corregido
secded,16,0.01,12,10170012,128,80,0.625,3,0,corregido
secded,16,0.01,13,10170013,128,80,0.625,1,0,corregido
secded,16,0.01,14,10170014,128,80,0.625,3,0,corregido
secded,16,0.01,15,10170015,128,80,0.625,0,0,sin_error
secded,16,0.01,16,10170016,128,80,0.625,1,0,corregido
secded,16,0.01,17,10170017,128,80,0.625,2,0,corregido
secded,16,0.01,18,10170018,128,80,0.625,2,0,corregido
secded,16,0.01,19,10170019,128,80,0.625,2,0,corregido
secded,16,0.01,20,10170020,128,80,0.625,0,0,sin_error
secded,16,0.01,21,10170021,128,80,0.625,0,0,sin_error
secded,16,0.01,22,10170022,128,80,0.625,3,0,corregido
secded,16,0.01,23,10170023,128,80,0.625,3,0,ERROR doble_error_detectado
secded,16,0.01,24,10170024,128,80,0.625,1,0,corregido
secded,16,0.01,25,10170025,128,80,0.625,1,0,corregido
secded,16,0.01,26,10170026,128,80,0.625,3,0,corregido
secded,16,0.01,27,10170027,128,80,0.625,1,0,corregido
secded,16,0.01,28,10170028,128,80,0.625,4,0,ERROR doble_error_detectado
secded,16,0.01,29,10170029,128,80,0.625,3,0,corregido
secded,16,0.05,0,10210000,128,80,0.625,9,0,ERROR doble_error_detectado
secded,16,0.05,1,10210001,128,80,0.625,11,0,ERROR doble_error_detectado
secded,16,0.05,2,10210002,128,80,0.625,10,1,corregido
secded,16,0.05,3,10210003,128,80,0.625,8,0,ERROR doble_error_detectado
secded,16,0.05,4,10210004,128,80,0.625,8,0,ERROR doble_error_detectado
secded,16,0.05,5,10210005,128,80,0.625,15,2,ERROR doble_error_detectado
secded,16,0.05,6,10210006,128,80,0.625,4,0,ERROR doble_error_detectado
secded,16,0.05,7,10210007,128,80,0.625,8,0,ERROR doble_error_detectado
secded,16,0.05,8,10210008,128,80,0.625,8,0,ERROR doble_error_detectado
secded,16,0.05,9,10210009,128,80,0.625,18,2,corregido
secded,16,0.05,10,10210010,128,80,0.625,15,1,ERROR doble_error_detectado
secded,16,0.05,11,10210011,128,80,0.625,6,0,ERROR doble_error_detectado
secded,16,0.05,12,10210012,128,80,0.625,11,1,corregido
secded,16,0.05,13,10210013,128,80,0.625,8,0,ERROR doble_error_detectado
secded,16,0.05,14,10210014,128,80,0.625,13,0,ERROR doble_error_detectado
secded,16,0.05,15,10210015,128,80,0.625,9,0,ERROR doble_error_detectado
secded,16,0.05,16,10210016,128,80,0.625,9,0,ERROR doble_error_detectado
secded,16,0.05,17,10210017,128,80,0.625,7,0,ERROR doble_error_detectado
